iter	Passed	Remaining
757	20018	6390
758	20053	6367
759	20077	6340
760	20103	6313
761	20128	6286
762	20152	6259
763	20176	6232
764	20201	6205
765	20226	6178
766	20253	6152
767	20281	6126
768	20306	6099
769	20333	6073
770	20357	6046
771	20382	6019
772	20409	5993
773	20437	5967
774	20464	5941
775	20488	5914
776	20512	5887
777	20539	5860
778	20564	5834
779	20587	5806
780	20614	5780
781	20639	5753
782	20662	5726
783	20687	5699
784	20711	5672
785	20736	5645
786	20759	5618
787	20784	5591
788	20807	5564
789	20831	5537
790	20856	5510
791	20881	5484
792	20905	5457
793	20932	5430
794	20958	5404
795	20981	5377
796	21005	5350
797	21030	5323
798	21055	5296
799	21080	5270
800	21105	5243
801	21130	5216
802	21158	5190
803	21182	5163
804	21207	5137
805	21231	5110
806	21255	5083
807	21281	5057
808	21306	5030
809	21329	5003
810	21356	4977
811	21383	4950
812	21408	4924
813	21444	4900
814	21475	4874
815	21501	4848
816	21536	4823
817	21564	4798
818	21588	4771
819	21613	4744
820	21638	4717
821	21666	4691
822	21692	4665
823	21716	4638
824	21740	4611
825	21765	4584
826	21790	4558
827	21814	4531
828	21838	4504
829	21863	4477
830	21888	4451
831	21912	4424
832	21937	4398
833	21962	4371
834	21987	4344
835	22012	4318
836	22033	4290
837	22058	4264
838	22081	4237
839	22105	4210
840	22132	4184
841	22172	4160
842	22211	4136
843	22237	4110
844	22263	4083
845	22290	4057
846	22315	4030
847	22341	4004
848	22367	3978
849	22391	3951
850	22415	3924
851	22440	3898
852	22465	3871
853	22488	3844
854	22514	3818
855	22539	3791
856	22564	3765
857	22588	3738
858	22613	3711
859	22638	3685
860	22658	3657
861	22675	3630
862	22694	3602
863	22715	3575
864	22734	3548
865	22753	3520
866	22773	3493
867	22793	3466
868	22810	3438
869	22831	3411
870	22856	3385
871	22875	3357
872	22895	3330
873	22915	3303
874	22933	3276
875	22953	3249
876	22972	3221
877	22991	3194
878	23009	3167
879	23026	3139
880	23048	3113
881	23069	3086
882	23088	3059
883	23110	3032
884	23130	3005
885	23152	2978
886	23170	2951
887	23194	2925
888	23218	2899
889	23243	2872
890	23265	2846
891	23282	2818
892	23300	2791
893	23320	2765
894	23345	2738
895	23368	2712
896	23391	2686
897	23413	2659
898	23432	2632
899	23453	2605
900	23472	2579
901	23491	2552
902	23511	2525
903	23531	2498
904	23551	2472
905	23569	2445
906	23587	2418
907	23610	2392
908	23634	2366
909	23650	2339
910	23666	2312
911	23683	2285
912	23702	2258
913	23722	2232
914	23742	2205
915	23757	2178
916	23774	2151
917	23793	2125
918	23814	2098
919	23833	2072
920	23854	2046
921	23869	2019
922	23889	1992
923	23908	1966
924	23927	1940
925	23945	1913
926	23964	1887
927	23982	1860
928	23999	1834
929	24021	1808
930	24039	1781
931	24060	1755
932	24078	1729
933	24097	1702
934	24117	1676
935	24133	1650
936	24150	1623
937	24167	1597
938	24186	1571
939	24205	1545
940	24222	1518
941	24239	1492
942	24258	1466
943	24274	1440
944	24290	1413
945	24307	1387
946	24323	1361
947	24339	1335
948	24357	1308
949	24374	1282
950	24392	1256
951	24409	1230
952	24425	1204
953	24443	1178
954	24460	1152
955	24477	1126
956	24495	1100
957	24513	1074
958	24530	1048
959	24548	1022
960	24568	997
961	24586	971
962	24604	945
963	24625	919
964	24644	893
965	24662	868
966	24681	842
967	24699	816
968	24717	790
969	24733	764
970	24751	739
971	24770	713
972	24789	687
